sim_datetime,price,demand,actual_demand,predicted_demand,forecast_error,action_name,battery_level,account_balance,cumulative_profit,unmet_demand,reward,variance_penalty,price_multiplier,demand_multiplier,active_scenario
2026-05-05 00:17:35,0.1168,0.748,0.748,0.748,0.0,BUY,11.02,99.79,-0.21,0.0,0.0,0.0,1.5,1.0,Custom Adjustment
2026-05-05 01:17:35,0.1055,0.699,0.699,0.699,0.0,BUY,12.01,99.62,-0.38,0.0,0.0,0.0,1.5,1.0,
2026-05-05 02:17:35,0.0897,0.596,0.596,0.596,0.0,BUY,13.02,99.47,-0.53,0.0,0.0,0.0,1.5,1.0,
2026-05-05 03:17:35,0.096,0.603,0.603,0.603,0.0,BUY,14.04,99.32,-0.68,0.0,0.0,0.0,1.5,1.0,
2026-05-05 04:17:35,0.0983,0.629,0.629,0.629,0.0,BUY,15.0,99.16,-0.84,0.0,0.0,0.0,1.5,1.0,
2026-05-05 05:17:35,0.1225,0.857,0.857,0.857,0.0,BUY,15.76,98.96,-1.04,0.0,0.0,0.001156,1.5,1.0,
2026-05-05 06:17:35,0.1429,1.107,1.107,1.107,0.0,BUY,16.27,98.73,-1.27,0.0,0.0,0.001458,1.5,1.0,
2026-05-05 07:17:35,0.1499,1.337,1.337,1.337,0.0,BUY,16.46,98.5,-1.5,0.0,0.0,0.001575,1.5,1.0,
2026-05-05 08:17:35,0.1299,1.228,1.228,1.228,0.0,BUY,16.69,98.31,-1.69,0.0,0.0,0.001486,1.5,1.0,
2026-05-05 09:17:35,0.0595,0.946,0.946,0.946,0.0,BUY,16.8,98.25,-1.75,0.0,0.0,0.002341,1.5,1.0,
2026-05-05 10:17:35,0.0239,0.874,0.874,0.874,0.0,BUY,16.64,98.23,-1.77,0.0,0.0,0.003183,1.0,1.0,
2026-05-05 11:17:35,0.0245,0.934,0.934,0.934,0.0,BUY,16.42,98.21,-1.79,0.0,0.0,0.003634,1.0,1.0,
2026-05-05 12:17:35,0.044,0.913,0.913,0.913,0.0,BUY,16.44,98.17,-1.83,0.0,0.0,0.003775,1.0,1.0,
2026-05-05 13:17:35,0.0532,0.981,0.981,0.981,0.0,BUY,16.46,98.12,-1.88,0.0,0.0,0.003808,1.0,1.0,
